Date,Payee,Address,Amount,Account,Month,Cleaned Vendor,Category,Type
05/03/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-18.01,TD Bank 4317,2024-05,Apple Subscriptions,Subscriptions,Expense
05/03/2024,VISA DDA PUR AP 449215     PAYPAL  HULU                402 935 7733  * CA,,-4.23,TD Bank 4317,2024-05,Hulu,Subscriptions,Expense
05/06/2024,VISA DDA PUR AP 424818     VENMO   OSWEGO D BUS        VISA DIRECT   * NY,,-40,TD Bank 4317,2024-05,Venmo,Transfers,Expense
05/06/2024,DDA PURCHASE AP 0200       FASTRAC 0201 214 W BRI      OSWEGO        * NY,,-15.27,TD Bank 4317,2024-05,Fastrac,Groceries,Expense
05/06/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-5,TD Bank 4317,2024-05,Apple Cash (Sent),Transfers,Expense
05/06/2024,VISA DDA PUR AP 449215     PAYPAL  UBER                402 935 7733  * CA,,-10.95,TD Bank 4317,2024-05,Uber,Transport,Expense
05/06/2024,VISA DDA PUR AP 424818     VENMO   HAILEY BARSHAK      VISA DIRECT   * NY,,-30,TD Bank 4317,2024-05,Venmo,Transfers,Expense
05/06/2024,VISA TRANSFER 405523     APPLE CASH INST XFER        CUPERTINO     * CA,,19.7,TD Bank 4317,2024-05,Apple Cash (Received),Income,Income
05/06/2024,TD ZELLE RECEIVED 412500K08VJ9 Zelle EJAAZ KEREM,,10,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/06/2024,VISA TRANSFER 405523     APPLE CASH INST XFER        CUPERTINO     * CA,,9.75,TD Bank 4317,2024-05,Apple Cash (Received),Income,Income
05/06/2024,TD ZELLE RECEIVED 412500E08SXV Zelle EJAAZ KEREM,,7,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/06/2024,TD ZELLE SENT 412400C0EKF7 Zelle GIANNI LUBITZ,,-25,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/08/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-3.17,TD Bank 4317,2024-05,Apple Subscriptions,Subscriptions,Expense
05/09/2024,TD ZELLE RECEIVED 413000H05E6Z Zelle BIRHANU GEBIREMES,,220,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/10/2024,VISA DDA PUR AP 413746     BYRNE DAIRY 10              OSWEGO        * NY,,-4.25,TD Bank 4317,2024-05,Byrne Dairy,Food & Dining,Expense
05/13/2024,VISA DDA PUR AP 403596     AMERICAN AIRx8961    FORT WORTH    * TX,,-40,TD Bank 4317,2024-05,American Airlines,Travel,Expense
05/13/2024,TD ZELLE SENT 413400P06KDU Zelle NAOL ANBESE,,-5,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/13/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-7.41,TD Bank 4317,2024-05,Apple Subscriptions,Subscriptions,Expense
05/13/2024,VISA DDA PUR AP 443106     SYRACUSE AIRPORT            SYRACUSE      * NY,,-17.79,TD Bank 4317,2024-05,Syracuse Airport            Syracuse      *,Other,Expense
05/13/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-10,TD Bank 4317,2024-05,FanDuel,Gambling,Expense
05/13/2024,VISA DDA PUR AP 449215     PAYPAL  UBER                402 935 7733  * CA,,-67.36,TD Bank 4317,2024-05,Uber,Transport,Expense
05/13/2024,RTP RCVD FanDuel Credit via Trustly,,200,TD Bank 4317,2024-05,FanDuel,Gambling,Income
05/13/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-25,TD Bank 4317,2024-05,Apple Cash (Sent),Transfers,Expense
05/13/2024,VISA DDA PUR AP 403638     PAYPAL  UBER                402 935 7733  * CA,,-12.24,TD Bank 4317,2024-05,Uber,Transport,Expense
05/13/2024,VISA DDA PUR AP 413746     BYRNE DAIRY 10              OSWEGO        * NY,,-15.27,TD Bank 4317,2024-05,Byrne Dairy,Food & Dining,Expense
05/13/2024,VISA DDA PUR AP 405523     AMERICAN FOOD N VENDI       OSWEGO        * NY,,-4.15,TD Bank 4317,2024-05,Vending Machine,Groceries,Expense
05/13/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-15,TD Bank 4317,2024-05,Apple Cash (Sent),Transfers,Expense
05/14/2024,TD ZELLE RECEIVED 413500E06XM6 Zelle AMSALE BELETE,,50,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/15/2024,VISA DDA PUR AP 411641     PP SPOTIFYUSAI              402 935 7733  * NY,,-6.35,TD Bank 4317,2024-05,Spotify,Subscriptions,Expense
05/15/2024,FD SPTSBK CASINO VIATRUSTLY,,-5,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/15/2024,TD ZELLE RECEIVED 413600G07IZZ Zelle EJAAZ KEREM,,11,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/15/2024,VISA DDA PUR AP 449215     PAYPAL  UBER                402 935 7733  * CA,,-9.28,TD Bank 4317,2024-05,Uber,Transport,Expense
05/16/2024,VISA DDA PUR AP 469216     SQ  CAMBRIA NAVY YARD       WASHINGTON DC * DC,,-30.99,TD Bank 4317,2024-05,Sq  Cambria Navy Yard       Washington,Other,Expense
05/17/2024,VISA DDA PUR AP 470780     CAVALIER LIQUOR   WINE      WASHINGTON    * DC,,-22.28,TD Bank 4317,2024-05,Cavalier Liquor   Wine      Washington    *,Other,Expense
05/17/2024,VISA DDA PUR AP 400097     2LEVY DCUNI                 WASHINGTON    * DC,,-19.8,TD Bank 4317,2024-05,2Levy Dcuni                 Washington    *,Other,Expense
05/17/2024,VISA DDA PUR AP 442733     MCDONALD S F695             WASHINGTON    * DC,,-5.71,TD Bank 4317,2024-05,McDonald's,Food & Dining,Expense
05/20/2024,VISA DDA PUR AP 449215     MINT MOBILE                 800 683 7392  * CA,,-10.5,TD Bank 4317,2024-05,Mint Mobile,Bills & Utilities,Expense
05/20/2024,TD ZELLE SENT 414100E0KB6T Zelle FITSUM MOHAMMED,,-10,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/20/2024,FD SPTSBK CASINO VIATRUSTLY,,-8.38,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/20/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-20,TD Bank 4317,2024-05,Apple Cash (Sent),Transfers,Expense
05/20/2024,FD SPTSBK CASINO VIATRUSTLY,,-5,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/20/2024,VISA DDA PUR AP 403638     PAYPAL  UBER                402 935 7733  * CA,,-9.95,TD Bank 4317,2024-05,Uber,Transport,Expense
05/20/2024,VISA DDA PUR AP 411641     PAYPAL  PARAMNTPLUS         402 935 7733  * CA,,-6.35,TD Bank 4317,2024-05,Paramount+,Subscriptions,Expense
05/20/2024,TD ZELLE RECEIVED 414100L0GUUN Zelle Jordy Parada,,24,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/20/2024,VISA DDA PUR AP 443106     CHIPOTLE 3910               WASHINGTON    * DC,,-11.11,TD Bank 4317,2024-05,Chipotle,Food & Dining,Expense
05/20/2024,VISA DDA PUR AP 403638     PAYPAL  UBER                402 935 7733  * CA,,-17.24,TD Bank 4317,2024-05,Uber,Transport,Expense
05/20/2024,VISA DDA PUR AP 403638     PAYPAL  TICKETMASTE TICK    402 935 7733  * CA,,-47.23,TD Bank 4317,2024-05,Ticketmaster,Entertainment,Expense
05/21/2024,VISA TRANSFER 455780     CASH APP NATANEM A CASH     SAN FRANCISCO * CA,,24.56,TD Bank 4317,2024-05,Cash App,Shopping,Income
05/22/2024,TD ZELLE SENT 414300N0J3YJ Zelle YOUNAEL ABUNE,,-10,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/22/2024,TD ZELLE SENT 414300F0FCMX Zelle YOUNAEL ABUNE,,-20,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/22/2024,VISA DDA PUR AP 473309     WINE AND SPIRITS 5170       PHILADELPHIA  * PA,,-2.15,TD Bank 4317,2024-05,Wine And Spirits 5170       Philadelphia  *,Other,Expense
05/22/2024,TD ZELLE SENT 414300A09IX4 Zelle YOUNAEL ABUNE,,-10,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/22/2024,VISA DDA PUR AP 413746     TST  KENNEDY FRIED CHICK    PHILADELPHIA  * PA,,-13.06,TD Bank 4317,2024-05,Tst  Kennedy Fried Chick    Philadelphia  *,Other,Expense
05/22/2024,TD ZELLE RECEIVED 414300O06JHT Zelle BIRHANU GEBIREMES,,150,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/22/2024,TD ZELLE RECEIVED 414300J06IA3 Zelle AMSALE BELETE,,50,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/22/2024,VISA DDA PUR AP 473309     WINE AND SPIRITS 5170       PHILADELPHIA  * PA,,-14.68,TD Bank 4317,2024-05,Wine And Spirits 5170       Philadelphia  *,Other,Expense
05/22/2024,VISA DDA PUR AP 443106     CHIPOTLE 2013               PHILADELPHIA  * PA,,-9.99,TD Bank 4317,2024-05,Chipotle,Food & Dining,Expense
05/23/2024,FD SPTSBK CASINO VIATRUSTLY,,-5,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/24/2024,FD SPTSBK CASINO VIATRUSTLY,,-10,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/24/2024,VISA DDA PUR AP 479338     MCDONALDS 1962              PLYMOUTH MEET * PA,,-4.31,TD Bank 4317,2024-05,McDonald's,Food & Dining,Expense
05/24/2024,VISA DDA PUR AP 479338     CASH APP DEUCE              800 x1940   * CA,,-10,TD Bank 4317,2024-05,Cash App,Shopping,Expense
05/24/2024,DDA PURCHASE AP x9003   SUNOCO x8355             PHILADELPHIA  * PA,,-5.44,TD Bank 4317,2024-05,Sunoco,Auto & Gas,Expense
05/24/2024,FD SPTSBK CASINO VIATRUSTLY,,-5,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/28/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-7.5,TD Bank 4317,2024-05,FanDuel,Gambling,Expense
05/28/2024,FD SPTSBK CASINO VIATRUSTLY,,-5,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/28/2024,TD ZELLE SENT 414600J0DZRV Zelle EJAAZ KEREM,,-20,TD Bank 4317,2024-05,Zelle (Sent),Transfers,Expense
05/28/2024,FD SPTSBK CASINO VIATRUSTLY,,-10,TD Bank 4317,2024-05,FD Casino,Gambling,Expense
05/28/2024,VISA DDA PUR AP 479338     MCDONALDS 6449              WASHINGTON    * DC,,-9.56,TD Bank 4317,2024-05,McDonald's,Food & Dining,Expense
05/28/2024,VISA DDA PUR AP 449215     DD DOORDASH POPEYESLO       855 973 1040  * CA,,-12.29,TD Bank 4317,2024-05,Popeyes,Food & Dining,Expense
05/28/2024,TD ZELLE RECEIVED 414600L05JWJ Zelle EJAAZ KEREM,,20,TD Bank 4317,2024-05,Zelle (Received),Income,Income
05/28/2024,VISA DDA PUR AP 424818     VENMO   ADRIAN ATAHUAL      VISA DIRECT   * NY,,-5,TD Bank 4317,2024-05,Venmo,Transfers,Expense
05/28/2024,VISA DDA PUR AP 463422     2ND STREET SOUTH ST   PA    PHILADELPHIA  * PA,,-59.54,TD Bank 4317,2024-05,2Nd Street South St,Other,Expense
05/28/2024,VISA DDA PUR AP 425138     KAFFA CROSSING              PHILADELPHIA  * PA,,-24.25,TD Bank 4317,2024-05,Kaffa Crossing              Philadelphia  *,Other,Expense
05/31/2024,VISA TRANSFER 405523     APPLE CASH INST XFER        CUPERTINO     * CA,,19.7,TD Bank 4317,2024-05,Apple Cash (Received),Income,Income
05/31/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-6,TD Bank 4317,2024-05,FanDuel,Gambling,Expense
05/31/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-20,TD Bank 4317,2024-05,FanDuel,Gambling,Expense
06/03/2024,ATM CASH DEPOSIT TW04A114   4849 WISCONSIN AVE          WASHINGTON    * DC,,37,TD Bank 4317,2024-06,Atm Cash Deposit Tw04A114   4849 Wisconsin Ave          Washington    *,Income,Income
06/03/2024,TD ZELLE RECEIVED 415300N0JJW6 Zelle AMSALE BELETE,,200,TD Bank 4317,2024-06,Zelle (Received),Income,Income
06/03/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-21.19,TD Bank 4317,2024-06,Apple Subscriptions,Subscriptions,Expense
06/03/2024,VISA DDA PUR AP 403638     PAYPAL  HULU                402 935 7733  * CA,,-4.23,TD Bank 4317,2024-06,Hulu,Subscriptions,Expense
06/03/2024,DISCOVER E-PAYMENT,,-209.18,TD Bank 4317,2024-06,Discover (Payment),Debt Payments,Expense
06/03/2024,DISCOVER E-PAYMENT,,-211,TD Bank 4317,2024-06,Discover (Payment),Debt Payments,Expense
06/04/2024,OVERDRAFT PD,,-35,TD Bank 4317,2024-06,Overdraft Fee,Bank Fees,Expense
06/04/2024,TD ZELLE RECEIVED 415600D038NY Zelle EDEN ABEBE,,50,TD Bank 4317,2024-06,Zelle (Received),Income,Income
06/05/2024,TD ZELLE RECEIVED 415700K08HL9 Zelle AMSALE BELETE,,12,TD Bank 4317,2024-06,Zelle (Received),Income,Income
06/06/2024,ONE KARE ENTERPR PAYROLL,,583.02,TD Bank 4317,2024-06,Payroll,Income,Income
06/06/2024,Online  Xfer Transfer to SV x4317,,-10,TD Bank 4317,2024-06,Transfer to Savings,Transfers,Expense
06/06/2024,DDA PURCHASE AP 318198     WALGREENS STORE 1217 22N    WASHINGTON    * DC,,-5.13,TD Bank 4317,2024-06,Walgreens,Groceries,Expense
06/06/2024,DDA TR NSFR TRANSFER TO SAVINGS ACCT     x4317,,-50,TD Bank 4317,2024-06,Transfer to Savings,Transfers,Expense
06/07/2024,VISA DDA PUR AP 449215     UBER   TRIP                 HELP UBER COM * CA,,-19.93,TD Bank 4317,2024-06,Uber,Transport,Expense
06/07/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-7,TD Bank 4317,2024-06,FanDuel,Gambling,Expense
06/07/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-10,TD Bank 4317,2024-06,FanDuel,Gambling,Expense
06/07/2024,BANK OF AMERICA ONLINE PMT,,-40,TD Bank 4317,2024-06,Bank of America (Payment),Debt Payments,Expense
06/10/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-14.03,TD Bank 4317,2024-06,Apple Subscriptions,Subscriptions,Expense
06/10/2024,VISA DDA PUR AP 443106     CHIPOTLE 0154               WASHINGTON    * DC,,-11.66,TD Bank 4317,2024-06,Chipotle,Food & Dining,Expense
06/10/2024,VISA DDA PUR AP 444500     PRIZEPICKS                  404 567 6666  * GA,,-100,TD Bank 4317,2024-06,PrizePicks,Gambling,Expense
06/10/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-2.99,TD Bank 4317,2024-06,Apple Subscriptions,Subscriptions,Expense
06/10/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-10,TD Bank 4317,2024-06,Apple Cash (Sent),Transfers,Expense
06/10/2024,VISA DDA PUR AP 479338     MCDONALDS 20863             WASHINGTON    * DC,,-6.6,TD Bank 4317,2024-06,McDonald's,Food & Dining,Expense
06/10/2024,VISA DDA PUR AP 469216     SQ  SUNNI TEEZ KITCHEN      WASHINGTON    * DC,,-15,TD Bank 4317,2024-06,Sq  Sunni Teez Kitchen      Washington    *,Other,Expense
06/12/2024,VISA TRANSFER 493185     MAPLEBEAR  INC              SAN FRANCISCO * CA,,132.57,TD Bank 4317,2024-06,NSF Fee,Bank Fees,Income
06/13/2024,VISA TRANSFER 493185     MAPLEBEAR  INC              SAN FRANCISCO * CA,,178.75,TD Bank 4317,2024-06,NSF Fee,Bank Fees,Income
06/13/2024,TD ZELLE SENT 416500A0CKWP Zelle ABRAHAM BERHANE,,-128,TD Bank 4317,2024-06,Zelle (Sent),Transfers,Expense
06/14/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-132,TD Bank 4317,2024-06,Apple Cash (Sent),Transfers,Expense
06/17/2024,VISA DDA PUR AP 494150     POPEYES 2545                DAVIDHMMSC AO * DC,,-10.88,TD Bank 4317,2024-06,Popeyes,Food & Dining,Expense
06/17/2024,VISA DDA PUR AP 443106     CHIPOTLE 0154               WASHINGTON    * DC,,-0.55,TD Bank 4317,2024-06,Chipotle,Food & Dining,Expense
06/17/2024,VISA DDA PUR AP 449216     DISTRICTTACO                DISTRICTTACO  * DC,,-11.98,TD Bank 4317,2024-06,Districttaco                Districttaco  *,Other,Expense
06/17/2024,Online  Xfer Transfer to SV x4317,,-100,TD Bank 4317,2024-06,Transfer to Savings,Transfers,Expense
06/17/2024,VISA DDA PUR AP 449215     FANDUELSBKPRIMARY           x3015    * NJ,,-10,TD Bank 4317,2024-06,FanDuel,Gambling,Expense
06/17/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-50,TD Bank 4317,2024-06,Apple Cash (Sent),Transfers,Expense
06/17/2024,VISA DDA PUR AP 444500     OPS CSC FORT STVENS PLAC    WASHINGTON    * DC,,-10,TD Bank 4317,2024-06,Ops Csc Fort Stvens Plac    Washington    *,Other,Expense
06/17/2024,VISA DDA PUR AP 419880     PAYPAL  PLAYSTATION         x7733    * CA,,-10.59,TD Bank 4317,2024-06,PlayStation,Subscriptions,Expense
06/17/2024,RTP RCVD PrizePicks via Aeropay,,100,TD Bank 4317,2024-06,PrizePicks,Gambling,Income
06/17/2024,VISA TRANSFER 493185     MAPLEBEAR  INC              SAN FRANCISCO * CA,,18.13,TD Bank 4317,2024-06,NSF Fee,Bank Fees,Income
06/17/2024,VISA DDA PUR AP 411641     PP SPOTIFYUSAI              402 935 7733  * NY,,-6.35,TD Bank 4317,2024-06,Spotify,Subscriptions,Expense
06/17/2024,DDA PURCHASE AP x7418   CVS PHARM 05674  3336       WASHINGTON    * DC,,-8.1,TD Bank 4317,2024-06,CVS Pharmacy,Groceries,Expense
06/18/2024,TD ZELLE RECEIVED 417000N0AQH5 Zelle Shirell Thomas,,10,TD Bank 4317,2024-06,Zelle (Received),Income,Income
06/18/2024,VISA DDA PUR AP 443106     BESTBUY COM                 111 111 1111  * MN,,-26.49,TD Bank 4317,2024-06,Bestbuy Com                 111 111 1111  * Mn,Other,Expense
06/20/2024,Online  Xfer Transfer to SV x4317,,-477.77,TD Bank 4317,2024-06,Transfer to Savings,Transfers,Expense
06/20/2024,DDA PURCHASE AP x0005   WM SUPERC WAL MART SUP      WASHINGTON    * DC,,-14.18,TD Bank 4317,2024-06,Walmart,Groceries,Expense
06/20/2024,Online  Xfer Transfer from SV x4317,,20,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/20/2024,ONE KARE ENTERPR PAYROLL,,477.43,TD Bank 4317,2024-06,Payroll,Income,Income
06/20/2024,VISA DDA PUR AP 469216     AMAZON MKTPL QN0YY39C3      AMZN COM BILL * WA,,-13.77,TD Bank 4317,2024-06,Amazon,Shopping,Expense
06/21/2024,Online  Xfer Transfer from SV x4317,,50,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/21/2024,Online  Xfer Transfer from SV x4317,,110,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/21/2024,VISA DDA PUR AP 479338     MCDONALDS 20863             WASHINGTON    * DC,,-6.6,TD Bank 4317,2024-06,McDonald's,Food & Dining,Expense
06/21/2024,VISA DDA PUR AP 479338     MCDONALDS 695               WASHINGTON    * DC,,-2.96,TD Bank 4317,2024-06,McDonald's,Food & Dining,Expense
06/21/2024,DDA PURCHASE AP x6418   CVS PHARM 01364  6514       WASHINGTON    * DC,,-7.43,TD Bank 4317,2024-06,CVS Pharmacy,Groceries,Expense
06/21/2024,DDA PURCHASE AP 319509     CVS PHARMACY  01 01364      WASHINGTON    * DC,,-3.89,TD Bank 4317,2024-06,CVS Pharmacy,Groceries,Expense
06/24/2024,DDA PURCHASE AP 313149     WHOLEFDS WRD 107 7130 12    WASHINGTON    * DC,,-5.03,TD Bank 4317,2024-06,Dda Purchase Ap 313149     Wholefds Wrd ,Other,Expense
06/24/2024,DISCOVER E-PAYMENT,,-100,TD Bank 4317,2024-06,Discover (Payment),Debt Payments,Expense
06/24/2024,BANK OF AMERICA ONLINE PMT,,-50,TD Bank 4317,2024-06,Bank of America (Payment),Debt Payments,Expense
06/24/2024,VISA DDA PUR AP 443106     CHIPOTLE 0154               WASHINGTON    * DC,,-11.11,TD Bank 4317,2024-06,Chipotle,Food & Dining,Expense
06/24/2024,VISA DDA PUR AP 401339     Z BURGER TENLEYTOWN         WASHINGTON    * DC,,-16.72,TD Bank 4317,2024-06,Z Burger Tenleytown         Washington    *,Other,Expense
06/24/2024,Online  Xfer Transfer from SV x4317,,35,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/24/2024,VISA DDA PUR AP 479338     MCDONALDS 695               WASHINGTON    * DC,,-2.74,TD Bank 4317,2024-06,McDonald's,Food & Dining,Expense
06/24/2024,Online  Xfer Transfer from SV x4317,,50,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/24/2024,Online  Xfer Transfer from SV x4317,,26,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/24/2024,VISA DDA PUR AP 479338     MCDONALDS 20863             WASHINGTON    * DC,,-5.05,TD Bank 4317,2024-06,McDonald's,Food & Dining,Expense
06/24/2024,Online  Xfer Transfer from SV x4317,,6,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/25/2024,VISA DDA PUR AP 425802     BROOK GEORGIA ENTERPRISE    WASHINGTON    * DC,,-36.42,TD Bank 4317,2024-06,Brook Georgia Enterprise    Washington    *,Other,Expense
06/26/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-10,TD Bank 4317,2024-06,Apple Cash (Sent),Transfers,Expense
06/26/2024,VISA DDA PUR AP 449215     UBER   TRIP                 HELP UBER COM * CA,,-12.89,TD Bank 4317,2024-06,Uber,Transport,Expense
06/27/2024,Online  Xfer Transfer from SV x4317,,10,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/27/2024,VISA DDA PUR AP 444500     OPS CSC FORT STVENS PLAC    WASHINGTON    * DC,,-10,TD Bank 4317,2024-06,Ops Csc Fort Stvens Plac    Washington    *,Other,Expense
06/27/2024,DDA PURCHASE AP x5104   CVS PHARM 01351  1755       WASHINGTON    * DC,,-10.36,TD Bank 4317,2024-06,CVS Pharmacy,Groceries,Expense
06/28/2024,Online  Xfer Transfer from SV x4317,,20,TD Bank 4317,2024-06,Internal Transfer,Transfers,Income
06/28/2024,VISA DDA PUR AP 479338     CASH APP DRIFT2RICCO        800 x1940   * CA,,-10,TD Bank 4317,2024-06,Cash App,Shopping,Expense
